transaction_id,fraud_probability,risk_level,triggered_rules,final_decision,explanation,scored_at,label_is_fraud,fraud_type
eb683a30-45ef-4b29-95a8-b7f421eb743f,0.0001,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
14e9a6a5-84f2-4be7-a80d-69427b2b31aa,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
75d0e62b-3401-4554-95a9-4d532c4a00e8,0.0005,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
03c1973d-cbc0-43c2-a3a2-b743206987ff,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
88523bf3-2540-42e4-aa8a-68fcf705dc51,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
527fdd4f-f545-4baa-893e-cd60a9712a4e,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
23b13b99-d51f-498a-8a8e-6591ea5eddc3,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
29b94ee7-aa96-4fd8-a58c-d6b6f2f1c61f,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
817099cd-d465-430c-be7a-d7d96ad3ba12,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
b8206090-d3e4-433d-8746-b3e801f5c6db,0.0006,LOW,,ALLOW,Key factors: occurring at an hour unusual for this sender. Model fraud probability: 0.1%.,2026-08-30T07:14:01.925972+00:00,False,
bdbc1f30-b2d3-4110-a753-570823df9f59,0.0005,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
a7463c10-6f57-4169-a379-fdfdbf45a188,0.0005,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
d0b8f1ec-d667-4049-8ca7-a818d7f46553,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
5f7d46fa-73c6-42ff-8986-3282df6d743b,0.0005,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
6a5aec6e-82ab-48b8-92be-fb4d78675c0a,0.0081,LOW,,ALLOW,Key factors: first transaction to this receiver. Model fraud probability: 0.8%.,2026-08-30T07:14:01.925972+00:00,False,
8b6fdf2a-c0c5-488a-ad95-1733c4ac20cb,0.0001,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
8683a988-4679-4d14-b497-323ca2466634,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
cf8a596b-fc82-4845-96b0-942df1921f3e,0.0001,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
76067cdd-b6c1-4400-b2e7-38689d2bfdbc,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
2968a422-0aac-4194-b429-7107981d426a,0.0163,LOW,,ALLOW,Key factors: first transaction to this receiver. Model fraud probability: 1.6%.,2026-08-30T07:14:01.925972+00:00,False,
5524ee7a-f342-4840-b330-5709b42dd407,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
281d31c6-b310-4745-ac21-3f795aae8abe,0.0006,LOW,,ALLOW,Key factors: occurring at an hour unusual for this sender. Model fraud probability: 0.1%.,2026-08-30T07:14:01.925972+00:00,False,
42ce741f-767d-4e4b-bfe3-4386d3ba982a,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
9bdb922c-7aee-4d92-b35b-8f64bcc760a6,0.0001,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
a40ac983-7caa-494e-9b6a-be45ab90e45d,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
e508f947-9b94-4a4d-9101-f08eb22b68dd,0.0005,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
5a2cc33e-f431-4833-9528-0f3ccb508eb8,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
396f0e7c-7204-45f4-ad8d-7c68f99b97a1,0.0003,LOW,,ALLOW,Key factors: occurring at an hour unusual for this sender. Model fraud probability: 0.0%.,2026-08-30T07:14:01.925972+00:00,False,
37cd5079-d7cc-4fa2-9132-ceec8c2a5fd5,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
66886c41-041b-4277-92e5-5d2b18b3c6b3,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
d568f7a6-150b-4d98-aa76-276077e42b59,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
63af3a30-3712-4a72-a124-d9dd3a5ad1e3,0.0001,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
ec7be191-a882-4f38-9089-2ce21c7af263,0.0003,LOW,,ALLOW,Key factors: amount is 2.1 standard deviations above the sender's usual amount. Model fraud probability: 0.0%.,2026-08-30T07:14:01.925972+00:00,False,
72f44c19-1335-46ad-8101-7bd40f76f6dd,0.0009,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
ffbcd93a-cf55-4f35-806f-78dbe3ccbf70,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
80b9aa90-3f15-428c-97b4-0e3188987bc4,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
8627bc87-6865-4555-9ae6-2fa21fd7593f,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
b4d1e44c-b850-4c8a-94a0-ee0c60b919d1,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
c65823c7-e37c-4b60-a80d-9d246c63bc9a,0.0009,LOW,,ALLOW,Key factors: occurring at an hour unusual for this sender. Model fraud probability: 0.1%.,2026-08-30T07:14:01.925972+00:00,False,
bbc5aa02-75da-4448-a8a7-952c4417c3cc,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
c55d1f71-023f-4994-834b-3e06f87ce6ca,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
4d556490-df6b-4e75-95e0-474c1ffe5723,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
f97bddbd-1a59-4f6f-9fef-53cb83a103a0,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
6b683072-10c0-43b4-bb4f-9f7b713d620f,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
abf44006-299d-4711-ad75-5000984bff8f,0.0178,LOW,,ALLOW,Key factors: first transaction to this receiver. Model fraud probability: 1.8%.,2026-08-30T07:14:01.925972+00:00,False,
2db1705f-9323-4b35-9399-75786397aaf0,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
efc60562-cf39-476e-bd57-990dd63a05d7,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
a181af15-6322-4229-9724-83298abe924a,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
12f3782c-b764-4e6e-aafa-2f0ae3c110df,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
e586cd89-f58a-4d31-91b9-0a2a5edb48a8,0.0001,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
bc9f38b0-5128-46ba-adcd-eaf25508c6a7,0.0003,LOW,,ALLOW,Key factors: occurring at an hour unusual for this sender. Model fraud probability: 0.0%.,2026-08-30T07:14:01.925972+00:00,False,
4d502943-4d05-4c95-946c-ec986bdebb23,0.0008,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
7d84557b-7696-4d80-a415-ecbd59feecae,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
abafd3b6-5def-49cd-b9ec-c48a81ab22bd,0.0003,LOW,,ALLOW,Key factors: occurring at an hour unusual for this sender. Model fraud probability: 0.0%.,2026-08-30T07:14:01.925972+00:00,False,
24c64289-5b17-45e9-ac76-761271933c5d,0.0006,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
782399ab-71c6-413c-899e-f02fd30df250,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
f00e4313-d3bf-45f6-b771-f1f086131894,0.0006,LOW,,ALLOW,Key factors: occurring at an hour unusual for this sender. Model fraud probability: 0.1%.,2026-08-30T07:14:01.925972+00:00,False,
7b2b66f7-8d27-4b7a-897e-b6548c9dea43,0.0005,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
2d061522-aaa3-4169-9ea8-b2158babba49,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
3a54e444-b8a8-48dd-8b73-220b03428031,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
9a92d0e8-b2ca-44a5-85c7-134e8e27996a,0.0005,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
30d737fb-e48a-46a4-afa5-f257083c854d,0.0003,LOW,,ALLOW,Key factors: occurring at an hour unusual for this sender. Model fraud probability: 0.0%.,2026-08-30T07:14:01.925972+00:00,False,
e54ac113-e74a-4120-b17a-2a931f268726,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
e652bcc7-a52c-4755-940d-dfaf0cd4bfd6,0.0007,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
4f6460ae-51f8-4f5d-8201-dcf680285a85,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
b9565e70-b4de-4c79-b392-456508d7a610,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
e510dcc0-4f1a-4e30-840e-46accc0dcf48,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
06e41ad9-bd26-4238-859c-3a3fc487b129,0.0005,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
b0a80eaa-9952-4d81-8373-631b83b1e790,0.0086,LOW,,ALLOW,Key factors: first transaction to this receiver. Model fraud probability: 0.9%.,2026-08-30T07:14:01.925972+00:00,False,
317261c3-b4fb-4482-aebf-21177faa2171,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
73ea686c-6a01-4010-9cf0-7bcbd0400998,0.0027,LOW,,ALLOW,Key factors: occurring at an hour unusual for this sender. Model fraud probability: 0.3%.,2026-08-30T07:14:01.925972+00:00,False,
874cbb52-6e92-41a9-ac54-8aa89a037921,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
7701f1ad-a4ac-4f95-86d2-407579576a08,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
1ea82733-155e-447c-af89-f7a59d6b545c,0.0007,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
8798bcf5-6b5d-40bb-912b-2c3e96d0f49e,0.0005,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
f111a0b6-2d32-4049-be03-f4cc75a759cf,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
8919c08c-ad55-47ca-a94a-0fb65d3ca12f,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
b3645d2b-a096-4cd7-94bb-119e94c375f7,0.0008,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
dd93ec25-49bb-4570-a144-622a2d461798,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
59c84579-6567-4379-b91a-249a32ce9415,0.0006,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
afcc2d01-fdcf-48bb-a7d1-5c4ad61a0fc5,0.0005,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
0082b50b-bd45-4a4e-9710-b7109c401d25,0.0013,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
cc3b7c25-4408-4e0f-91de-0d0027235d64,0.9994,CRITICAL,"HIGH_AMOUNT_DEVIATION,NEW_RECEIVER_HIGH_VALUE",BLOCK,"Key factors: amount is 9.8 standard deviations above the sender's usual amount; amount is 4.3x the sender's typical amount; occurring at an hour unusual for this sender. Rules triggered: HIGH_AMOUNT_DEVIATION, NEW_RECEIVER_HIGH_VALUE. Model fraud probability: 99.9%.",2026-08-30T07:14:01.925972+00:00,True,mule_account
57f0e790-1475-421c-b172-ef0cb0a3fdc7,0.9997,CRITICAL,HIGH_AMOUNT_DEVIATION,BLOCK,Key factors: amount is 4.4 standard deviations above the sender's usual amount; amount is 4.1x the sender's typical amount; occurring at an hour unusual for this sender. Rules triggered: HIGH_AMOUNT_DEVIATION. Model fraud probability: 100.0%.,2026-08-30T07:14:01.925972+00:00,True,mule_account
f11dad66-d280-4684-a9eb-af82b1491d68,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
450e3eff-18e0-4f2e-bcaf-f47814e92443,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
bd228dfd-3e3f-4c3f-a56a-fcadbc23273c,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
1600350b-9523-47c4-9838-0658fa493c8e,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
f5644dee-a2d8-4331-aca4-a2ccd675fcf7,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
f479f581-b53f-461d-975c-a848608f3610,0.0005,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
f684a7fc-73d8-4aa5-b332-136d2d246b15,0.0009,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
6587cd0a-9875-47d2-9268-994da262fe9f,0.9977,CRITICAL,"HIGH_AMOUNT_DEVIATION,NEW_RECEIVER_HIGH_VALUE",BLOCK,"Key factors: amount is 8.2 standard deviations above the sender's usual amount; amount is 4.0x the sender's typical amount; first transaction to this receiver. Rules triggered: HIGH_AMOUNT_DEVIATION, NEW_RECEIVER_HIGH_VALUE. Model fraud probability: 99.8%.",2026-08-30T07:14:01.925972+00:00,True,phishing_induced
ad7d962a-c76a-43d0-9230-93e210c4a028,0.1406,LOW,,ALLOW,Key factors: first transaction to this receiver. Model fraud probability: 14.1%.,2026-08-30T07:14:01.925972+00:00,False,
cc89a138-a2a6-43bb-9242-d5e0c1677778,0.0001,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
04f65831-332c-4344-b28a-db0657a41516,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
c5185aef-cbc7-4959-92a1-5560cca5e9d9,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
e60f5d99-c222-45f0-8059-5ad38dd323b3,0.9997,CRITICAL,HIGH_AMOUNT_DEVIATION,BLOCK,Key factors: 2 other transactions from this sender in the last hour; amount is 4.9x the sender's typical amount; amount is 4.7 standard deviations above the sender's usual amount. Rules triggered: HIGH_AMOUNT_DEVIATION. Model fraud probability: 100.0%.,2026-08-30T07:14:01.925972+00:00,True,mule_account
fc8e03bb-c451-4a92-a152-4ccd4d6c1d6f,0.9998,CRITICAL,VELOCITY_BURST,BLOCK,Key factors: 3 other transactions from this sender in the last hour; amount is 3.6x the sender's typical amount; occurring at an hour unusual for this sender. Rules triggered: VELOCITY_BURST. Model fraud probability: 100.0%.,2026-08-30T07:14:01.925972+00:00,True,mule_account
6a7c2afd-e0bb-4f69-a138-a0744250233e,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
2e3015d8-d8b3-44b1-b7fe-e3ba8b75bfd5,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
87d3e3aa-ab80-4436-869a-14d19158474a,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
08a21836-dd6e-4f01-ad69-9dadb13c4816,0.0005,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
8952274a-abc5-4529-af07-3fb6373a8b6d,0.0005,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
4d3db968-9421-44bf-908c-1c773b82e4ce,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
db76bdc3-f5c9-46da-a5f2-a9bd86fe8c9c,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
8e609155-bf6e-450c-ba68-7a450e523eb5,0.0006,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
8bb19620-42e4-4784-8c7b-b033d5daa173,0.1856,LOW,,ALLOW,Key factors: first transaction to this receiver. Model fraud probability: 18.6%.,2026-08-30T07:14:01.925972+00:00,False,
f125e6c1-4224-46cd-892f-df2b9afb42a6,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
95b6b341-0f88-4ad9-ac1d-34aa41a5edd1,0.0002,LOW,,ALLOW,Key factors: occurring at an hour unusual for this sender. Model fraud probability: 0.0%.,2026-08-30T07:14:01.925972+00:00,False,
a1b28d09-1b13-46af-9025-899abf3525fc,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
e3dbc7c4-73ad-48bf-bca4-fbe4a6802608,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
90dd5b6d-d2bb-4465-b3a9-acec960e91a0,0.1196,LOW,,ALLOW,Key factors: first transaction to this receiver. Model fraud probability: 12.0%.,2026-08-30T07:14:01.925972+00:00,False,
20c2a428-2652-4c9a-bd45-8e5619dac5af,0.01,LOW,,ALLOW,Key factors: first transaction to this receiver. Model fraud probability: 1.0%.,2026-08-30T07:14:01.925972+00:00,False,
9d81a647-a5ee-4305-8f6c-8519be3df673,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
00150234-ba3c-488f-9d2a-b1ae890c9580,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
d055624f-d97f-4886-8b2f-e1d871f9162b,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
05211ade-f030-40ad-9439-19f3426837d3,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
4875df4d-d56e-4253-88bd-0d1c87021f8b,0.1091,LOW,,ALLOW,Key factors: first transaction to this receiver. Model fraud probability: 10.9%.,2026-08-30T07:14:01.925972+00:00,False,
6fc9aee9-72c0-48ff-9ecb-2d1f46540d62,0.0005,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
fa2eec22-65b1-4353-bb17-e3e139d3aaa7,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
0d85cbe3-0fc0-40dd-a6f1-9937179ab207,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
b3b10643-496c-4bef-afd9-99e2624e4c48,0.0001,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
8d524b51-8594-4416-97b2-d5dd396a526a,0.0001,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
ab2e6d77-6745-41c1-a0f2-f455ce84ced0,0.3821,MEDIUM,HIGH_AMOUNT_DEVIATION,ALLOW,Key factors: occurring at an hour unusual for this sender; amount is 3.2 standard deviations above the sender's usual amount; first transaction to this receiver. Rules triggered: HIGH_AMOUNT_DEVIATION. Model fraud probability: 38.2%.,2026-08-30T07:14:01.925972+00:00,False,
4e0dd917-2313-4711-b7f5-eacf3af04c41,0.0001,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
0363c07b-3565-449e-aa68-1bf0c9bf7db1,0.0004,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
f4d2deb8-3042-46a9-a5ea-57aca1340dbc,0.0003,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
2eb78e30-43e2-456e-9411-ee128d292a3a,0.0081,LOW,,ALLOW,Key factors: first transaction to this receiver. Model fraud probability: 0.8%.,2026-08-30T07:14:01.925972+00:00,False,
6867abb7-893e-4912-8763-b50023858e20,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
e50f73df-be05-4e36-9165-6ffcb75ba041,0.0086,LOW,,ALLOW,Key factors: first transaction to this receiver. Model fraud probability: 0.9%.,2026-08-30T07:14:01.925972+00:00,False,
b61006bb-8c50-4dff-b326-c2a6240e83ba,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
b5d14ba6-fa97-494a-bbf6-673cfe7c8f4d,0.0003,LOW,,ALLOW,Key factors: occurring at an hour unusual for this sender. Model fraud probability: 0.0%.,2026-08-30T07:14:01.925972+00:00,False,
e002d9b6-7262-42b0-bd86-5b6d794695a2,0.001,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.1%).,2026-08-30T07:14:01.925972+00:00,False,
b264b9bf-02b6-401e-b16d-443c211bfd5c,0.0002,LOW,,ALLOW,No significant risk factors identified (fraud probability 0.0%).,2026-08-30T07:14:01.925972+00:00,False,
